ID,Section,Event,Question,Current Rule/Fee,Benchmark/Research,Recommended Default,Proposed Fee/Rule,Default Owner,Evidence Required,SLA Impact,Unit,Notes
IN-001,Inbound - Pre Arrival,ASN / receiving shipment timing,Do we charge when the receiving shipment/ASN is not created at least 5 business days before arrival?,10-15 business days added; $10/pallet/day,ShipBob no-WRO benchmark: $25/day after grace period,Charge + pause SLA,$10-$25 per pallet/day; higher for repeat offenders,Ops + Finance,ASN timestamp; arrival timestamp; pallet count,Pause until complete data exists,Pallet/day,
IN-002,Inbound - Pre Arrival,No receiving created at all,"If freight arrives with no receiving record at all, do we accept, hold, or turn away?",10-15 business days added; $10/pallet/day after arrival,Best practice: hold exception and bill storage/labor,Hold exception + bill,$25/pallet/day or storage + actual labor,Warehouse + AM,BOL; dock photos; carrier; pallet count,SLA not started,Pallet/day + labor,
IN-003,Inbound - Appointment,No Conduit booking / no appointment,"Should no appointment always trigger a fee, or only delay?",Conflict: one doc says no cost; another says $10/pallet/day,Unscheduled freight creates dock/labor disruption,Charge or turn away by shipment type,$10-$25/pallet/day or $100 incident minimum,Ops + Warehouse,Appointment record; arrival timestamp,Pause SLA; may turn away,Pallet/day or incident,
IN-004,Inbound - Appointment,Late/early arrival,Do we charge if carrier arrives outside appointment window?,,Appointment miss/reschedule should be billable if client/carrier caused,Charge if disruption or reschedule required,$75-$150 incident or $60/hr,Warehouse + Transportation,Arrival log; appointment confirmation,Pause if missed window,Incident or labor,
IN-005,Inbound - Appointment,FTL/container without appointment,Do we turn away FTL/container without confirmed appointment?,FTL/LTL article says carriers without appointment will be turned away,Best practice: turn away unless emergency unload approved,Turn away unless approved,Emergency unload: $150 minimum + $60/person/hr,Warehouse Director,BOL; carrier; appointment record,SLA not started,Incident + labor,
IN-006,Inbound - Data,PO missing/invalid,"Do we charge when PO is N/A, 0, missing, or not on boxes/pallets?",5 days added for invalid/missing PO; 2 days if PO missing from boxes/pallets; no cost,Missing PO causes lookup/research labor,Charge after first offense or if labor >15 min,$25-$75 incident or $60/hr,Ops + Finance,Photos; system lookup time,Pause/extend SLA,Incident or labor,
IN-007,Inbound - Data,SKU not created before receiving,Do we charge when SKUs are not created 5 days before first receiving?,1-5 days added; no cost,SKU setup failure causes receiving block and back-office labor,Hold + setup fee if Atomix helps,$10-$25/SKU setup assist or $60/hr,AM + Systems,SKU missing report,SLA not started,SKU or hour,
IN-008,Inbound - Data,Bad ASN quantities,Do we charge for ASN vs actual overages/shortages that require research?,,ShipBob WRO overage benchmark: $10/day after grace period,Charge outside tolerance,$10/SKU/day after 72 hrs or $50 incident,Inventory Control,ASN qty; received qty; variance report,Pause affected SKUs,SKU/day or incident,
IN-009,Inbound - Data,Shipment arrives in multiple parts,Should split shipments restart receiving SLA and/or charge?,Each part requires 5 days processing; no cost,Split shipments create staging and duplicate admin,Restart SLA + charge storage after grace,Storage or hold fee after 48-72 hrs,Ops + AM,Tracking/BOLs; arrival dates,SLA per arrival part,Pallet/day,
PKG-001,Inbound - Pallets,Pallet height standard,Which pallet max height is official: 60 inches or 72 inches by approval?,Conflict: Receiving says 60”; FTL/LTL says 72” unless approved,Guide must be consistent to enforce fees,60 standard; 72 only pre-approved,$100/pallet restack if noncompliant,Ops Director,Photos; measurement,May delay unload,Pallet,
PKG-002,Inbound - Pallets,"Pallet over 2,800 lbs",Do we charge/turn away overweight pallets?,"Cannot exceed 2,800 lbs",Safety issue; should be enforcement-based,Turn away or bill rework,$100/pallet + labor or turn away,Warehouse Director,Weight proof/BOL/photos,SLA paused,Pallet + labor,
PKG-003,Inbound - Pallets,Mixed SKU pallets,Do we charge for mixed pallets that are allowed but poorly labeled/sorted?,Mixed pallets accepted if properly labeled,Sortation is labor-heavy,Charge if not clearly labeled/segregated,$100/pallet or $60/hr,Receiving Lead,Photos; pallet label; pack slip,Extend receiving,Pallet/hour,
PKG-004,Inbound - Pallets,Missing pallet signage,Do we charge when pallet signage is missing brand/PO/pallet count/packing list?,Required; bad labels may be $100/pallet or $15/box + $60/hr,Market supports noncompliance/relabel fees,Charge,$100/pallet + labor,Receiving Lead,Photos before correction,Extend receiving,Pallet,
PKG-005,Inbound - Pallets,Poor wrap / unsafe pallet,"Do we charge to rewrap, restack, or secure unsafe pallets?",Unwrapped/non-clear wrap may be billed as special project,Safety + labor + supplies,Charge or reject unsafe,$25-$100/pallet + $60/hr + supplies,Warehouse Lead,Photos; time log; supply use,Pause affected freight,Pallet + labor,
PKG-006,Inbound - Boxes,Boxes over 40 lbs,"Do overweight boxes trigger fee, refusal, or special handling?",Boxes cannot exceed 40 lbs,Heavy boxes drive safety/labor risk,Charge or require approval,$15-$25/box or $60/hr,Warehouse + Safety,Scale/photo,May delay,Box,
PKG-007,Inbound - Boxes,Loose boxes / floor-loaded container,How do we bill palletizing loose boxes or floor-loaded containers?,Loose boxes palletized and billed hourly,"Benchmarks: $350 20ft, $500 40ft; actual labor may be higher",Hybrid minimum + actual labor,$350-$500 minimum + $60/person/hr,Ops + Finance,Container photos; carton count; labor time,SLA starts after unload/sort,Container/hour,
PKG-008,Inbound - Boxes,Multiple SKUs in one box,Do we charge for multi-SKU boxes requiring sorting/reboxing?,Allowed only if labeled; may be billed hourly,High error risk,Require approval; bill rework,$15/box + $60/hr,Inventory Control,Photos; label; pack list,Pause SKU availability,Box/hour,
PKG-009,Inbound - Boxes,Partial case packs,Do unlabeled partial case packs trigger relabel/rework fee?,Partial case packs must be noted with required label fields,Unlabeled partials cause count errors,Charge + hold until clarified,$15/box + $60/hr,Receiving Lead,Photos; count variance,Pause affected SKU,Box/hour,
PKG-010,Inbound - Labels,Labels not in English / unreadable,Do we charge for labels not in English or not readable/scannable?,Can be $100/pallet or $15/box + $60/hr,Enforceable and reasonable,Charge,$15/box or $100/pallet + $60/hr,Receiving Lead,Photos,Pause affected freight,Box/pallet + labor,
LBL-001,Product Labeling,No barcode on sellable unit,Do we charge for applying barcodes to unbarcoded inventory?,Conflict: $0.20 or $0.25 per sticker + $60/hr,"ShipBob $0.21 customer label, $0.26 printed; Amazon FBA label $0.55",Charge; split provided vs printed,Provided $0.25/unit; printed $0.35-$0.55/unit + $60/hr,Inventory Control + Finance,SKU list; unit count; labor time,Pause until labeled,Unit + labor,
LBL-002,Product Labeling,Wrong SKU/UPC,"Do we charge for SKU/UPC correction, research, and relabeling?",$0.25/sticker + $60/hr,Wrong SKU/UPC is higher effort than simple label affix,Charge higher + hold,$0.35-$0.75/unit + $60/hr,Inventory Control,Photos; SKU mapping; approval,Pause affected SKU,Unit/hour,
LBL-003,Product Labeling,Lot/expiry missing,Do we charge and hold if lot/expiry is missing on product/case/master carton?,Must be included; without info Atomix cannot track,Traceability and FEFO risk,Hold + charge if correction needed,$10/SKU/day hold after grace + $60/hr,QA + Inventory Control,Photos; affected qty; client confirmation,SLA paused,SKU/day + labor,
LBL-004,Product Labeling,Temperature-control label missing,Do we charge if temp requirements were not communicated/labeled?,Requirements must be communicated and boxes labeled,High product/client risk,Hold; bill special handling,$100 incident + $60/hr if rework,QA + AM,Photos; product requirement; temp logs,SLA paused,Incident/hour,
LBL-005,Product Labeling,Exact label placement required,Do we charge extra for exact placement/orientation requirements?,,ShipBob benchmark: +$0.07/unit exact positioning,Charge extra,+$0.07-$0.15/unit,Ops + Finance,Work instruction; QA sample,No SLA effect unless missing instruction,Unit,
SLA-001,SLA / Timeline,Receiving SLA start,When exactly does receiving SLA start?,Day after drop at Atomix if shipment correct,Best practice: starts only when freight and complete data are both present,Complete compliant arrival,SLA starts after compliant full arrival,Ops + AM,Arrival; ASN; appointment; condition,Defines SLA,Rule,
SLA-002,SLA / Timeline,SLA pause triggers,Which issues pause SLA vs merely extend timeline?,,Critical margin/dispute protection,Pause for client-caused blockers,"Pause for missing ASN, labels, SKU setup, lot/expiry, routing guide, approvals",Ops + Finance,Exception record,Pause SLA,Rule,
SLA-003,SLA / Timeline,Expedited receiving base,What is the base amount expedited percentages apply to?,"Next day 100%, 2nd 75%, 3rd 50%, 4th 25%; base unclear",Unclear fees cause disputes,Define as rush surcharge on receiving labor/fee,100/75/50/25% surcharge on receiving/rework labor or defined flat,Finance,Quote approval,Does not override blockers,% or flat,
SLA-004,SLA / Timeline,Rush eligibility,Do we require shipment in full by noon previous day and complete data for expedite?,Must arrive by noon in full previous day,Good rule; add no missing data,Keep + complete-data requirement,"Rush only if in full, compliant, and approved",Ops,Arrival timestamp; ASN complete,No rush if blockers,Rule,
SLA-005,SLA / Timeline,Large shipments >15 pallets,Should large shipments add time but no fee?,">15 pallets/truckload/container adds 2 days, no cost",Large volume consumes capacity; fee may be contract-specific,Delay + quote if outside forecast,Quote or capacity fee for unforecasted volume,Ops + Finance,Pallet count; forecast,Extend SLA,Pallet or quote,
OUT-001,Outbound - Shipping Mapping,Unmapped shipping service code,Do we hold orders or auto-map when client changes service code without notice?,Orders may be delayed until correct info provided,Best practice: exception queue; SLA pause,Hold + SLA pause,$25 setup/change fee if repeated,Systems + AM,Order import code; mapping table,Pause fulfillment SLA,Incident,
OUT-002,Outbound - Shipping Mapping,Shipping method mapping updates,Do we charge for repeated mapping changes or urgent setup?,,Back-office labor,Include standard; charge urgent/repeated,$60/hr or $25-$50 mapping change,Systems + Finance,Request ticket; mappings changed,No SLA until mapped,Change/hour,
OUT-003,Outbound - Carrier Account,Client/non-Atomix carrier account labels,Is $2.50/label enough for third-party carrier account use?,TOS: minimum $2.50 per label,Covers label handling but not failed billing/corrections,Keep + add correction admin,$2.50/label minimum + pass-through corrections,Finance + Transportation,Carrier account; label count,No SLA impact,Label,
OUT-004,Outbound - Carrier Account,Invalid carrier account,Do we hold shipments if carrier account is invalid or rejected?,,Prevents Atomix absorbing freight,Hold unless approved,Ship on Atomix account only with written approval and markup,Transportation + AM,Carrier error; order list,Pause SLA,Incident,
OUT-005,Outbound - Carrier Costs,Rate shopping substitution,Can Atomix choose alternate carrier to meet service/cost during surcharges?,USPS article says rate shopping may route to FedEx/UPS/regional carriers,"Good protection if client expects service level, not carrier",Allow by service level unless client restricts,Carrier choice may vary to meet service/cost,Transportation,Service level; carrier used,No SLA impact,Rule,
OUT-006,Outbound - Carrier Adjustments,Carrier reweigh/re-DIM,Do we pass through carrier reweigh/re-DIM plus admin?,Adjustments can be passed through 1-120 days; no clear admin,ShipBob uses carrier cost + 15% admin for corrections,Pass-through + admin,Carrier cost + 15% admin or fixed minimum,Finance,Carrier invoice; order; dims/weight,Invoice later,Adjustment,
OUT-007,Outbound - Carrier Adjustments,Address correction,Do we charge address corrections and admin?,Shipping adjustments list $19.50-$21 typical,ShipBob carrier cost + 15% admin,Pass-through + admin,Carrier cost + 15% or $5 admin min,Finance + AM,Carrier adjustment; address data,No SLA,Adjustment,
OUT-008,Outbound - Carrier Adjustments,Return to sender / intercept / reroute,Do we pass through RTS/intercept/reroute fees plus labor?,Adjustments list RTS and related fees,Common pass-through + admin,Pass-through + admin,"$15 admin + carrier cost, or 15% admin",AM + Finance,Carrier charge; request; order status,May pause reship,Shipment,
OUT-009,Outbound - Carrier Adjustments,Additional handling / large package,Do we bill additional handling and large-package charges?,Listed as possible adjustments but no amounts,ShipBob additional handling $46.50-$58.75; large handling $255-$331,Pass-through + admin,Carrier cost + 15% admin,Finance,Carrier invoice; package dims,Invoice later,Shipment,
OUT-010,Outbound - Carrier Adjustments,Delayed carrier detail upload fees,Do we charge if client/system data causes delayed detail upload fee?,Listed as possible adjustment,Should not be absorbed if client-caused,Charge if client/system integration caused,Pass-through + admin unless Atomix fault,Systems + Finance,Error logs; carrier invoice,No SLA,Incident,
B2B-001,B2B / Retail Routing,Current retailer routing guide required,Do we require current routing guide before first B2B/retail order releases?,B2B doc lacks detailed routing-guide rules,Retail chargebacks $25-$500/incident; OTIF around 3% COGS,Required,No release until current routing guide is provided,AM + Client,Guide file/version/date,Pause B2B SLA,Rule,
B2B-002,B2B / Retail Routing,Routing guide version control,Who owns confirming the guide is current?,,Best practice: client owns; Atomix stores version,Client owns; AM verifies upload,Client responsible for current requirements,AM + Client,File version; client confirmation,Pause if outdated,Rule,
B2B-003,B2B / Retail Routing,Routing portal access,Do we charge for routing portal setup/use?,,Portal work is back-office labor,Charge setup/hourly unless contracted,$25-$100 setup + $60/hr or per-order fee,AM + Finance,Portal login; order count; time,Pause until access works,Portal/order/hour,
B2B-004,B2B / Retail Routing,EDI / ASN ownership,Who sends EDI ASN and who pays if it fails?,,ASN failures cause chargebacks,Define by client; default client owns unless contracted,Chargeback passed to responsible party,AM + EDI,ASN transmission logs,Hold or ship-at-risk,Rule/incident,
B2B-005,B2B / Retail Routing,UCC-128 / SSCC carton labels,Do we charge for generating/applying retail carton labels?,,High-compliance labor,Charge unless in B2B fee,$0.35-$0.75/label + labor or per carton fee,Ops + Finance,Label count; order; retailer spec,No ship until labels approved,Label/carton,
B2B-006,B2B / Retail Routing,Pallet labels / placards,Do we charge for pallet labels and compliance placards?,,Retail compliance risk,Charge if custom/retail-specific,$5-$15/pallet label/placard + labor,Warehouse + Finance,Pallet count; label spec,No ship until compliant,Pallet,
B2B-007,B2B / Retail Routing,Ship window / cancel date,Do we hold orders if ship window data is missing?,,Prevents early/late chargebacks,Hold unless written ship-at-risk,Ship-at-risk approval required,AM + Transportation,PO; ship window; cancel date,Pause B2B SLA,Rule,
B2B-008,B2B / Retail Routing,Retail appointment scheduling,Who books appointments and who pays missed/reschedule fees?,,Appointment failures create chargebacks/detention,Define owner; bill misses caused by client/carrier,$25-$75 appointment handling or $60/hr,Transportation,Appointment proof; portal notes,Pause if missing access,Appointment,
B2B-009,B2B / Retail Routing,Retail chargebacks,Do we pass through retailer chargebacks unless Atomix fault is proven?,,Market: $25-$500 incident; OTIF around 3% COGS,Pass-through unless Atomix fault,100% pass-through + admin if client-caused,Finance + AM,Retail chargeback docs; root cause,Invoice/credit decision,Chargeback,
B2B-010,B2B / Retail Routing,B2B misclassified as DTC,Do we charge/recover labor when client sends B2B as DTC?,B2B doc says cancel/recreate; rerouting may not be possible if processing,Wrong workflow causes labor and compliance risk,Charge correction if work started,$25/order correction or $60/hr,AM + Ops,Order status/timestamps,SLA paused after correction,Order/hour,
SP-001,Special Projects,Written approval before nonstandard work,Which work can Ops perform without written client approval?,Special projects require quote approval for complete submission,Strong margin control,Require approval except safety/inventory protection,No nonstandard work without approval,AM + Ops,Approval record,SLA starts after approval,Rule,
SP-002,Special Projects,Minimum fee,Is $60 minimum enough for all special projects?,$60 minimum regardless of time,Benchmark: $25 setup common; $45/hr labor; $60 min is reasonable,Keep or $75 for complex,$60-$75 minimum,Finance,Request ticket,No SLA until complete request,Project,
SP-003,Special Projects,Supplies/materials,Do we pass through supplies with markup?,Supplies billed to client; markup unclear,Markup/admin protects procurement time,Cost + admin/markup,Cost + 10-20% or handling fee,Finance,Receipt; material usage,May pause if unavailable,Supply,
SP-004,Special Projects,Client materials unavailable,Does SLA pause when client-supplied packaging/inserts/labels are unavailable?,,Must protect from client-caused misses,Pause; substitute only with approval,SLA paused until materials available,Ops + AM,Material inventory; request proof,Pause SLA,Rule,
SP-005,Special Projects,Rush special projects,Do rush projects have surcharge and approval?,,Rush disrupts labor plan,Rush surcharge,25%-100% rush surcharge,Ops + Finance,Approval; deadline,Priority changes other SLAs,% or flat,
CTRL-001,Controls,Photo/document proof,Which exceptions require photo/document proof before billing?,,Critical for dispute defense,All billable exceptions,Proof required for noncompliance/rework fees,Warehouse + Finance,Photos; BOL; timestamps; screenshots,Supports SLA pause,Rule,
